epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,840.194,0.92993,0.58406,1.00398,0.85424,0.87173,0.90936,0.64973,1.06231,0.75784,1.12203,9.08504e-05,9.08504e-05,9.08504e-05
70,851.609,0.94822,0.5922,1.00422,0.87364,0.88529,0.90879,0.64802,1.05917,0.74668,1.12669,8.80982e-05,8.80982e-05,8.80982e-05
71,863.059,0.94737,0.59375,1.00235,0.84123,0.85024,0.88907,0.63521,1.0454,0.82105,1.123,8.5346e-05,8.5346e-05,8.5346e-05
72,874.572,0.94253,0.59615,1.00641,0.88984,0.89316,0.92517,0.65777,1.06606,0.72335,1.13529,8.25938e-05,8.25938e-05,8.25938e-05
73,885.633,0.96075,0.60505,1.01111,0.79535,0.84993,0.86536,0.62047,1.06242,0.89179,1.12602,7.98416e-05,7.98416e-05,7.98416e-05
74,897.081,0.93675,0.59697,1.00212,0.81584,0.85903,0.89452,0.642,1.04692,0.81621,1.12087,7.70894e-05,7.70894e-05,7.70894e-05
75,910.467,0.9516,0.57738,1.00215,0.87241,0.89271,0.91816,0.65599,1.04858,0.73263,1.12001,7.43372e-05,7.43372e-05,7.43372e-05
76,921.992,0.90943,0.5605,0.99692,0.85927,0.88126,0.90583,0.64502,1.06072,0.76818,1.12631,7.1585e-05,7.1585e-05,7.1585e-05
77,931.743,0.93452,0.57153,1.00383,0.84422,0.83012,0.88705,0.63286,1.05374,0.81508,1.12465,6.88328e-05,6.88328e-05,6.88328e-05
78,944.143,0.90576,0.57824,0.99089,0.8886,0.89162,0.92839,0.66631,1.04061,0.68914,1.11679,6.60806e-05,6.60806e-05,6.60806e-05
79,957.355,0.93331,0.57805,0.99886,0.88435,0.89048,0.92383,0.66059,1.04372,0.71953,1.12728,6.33284e-05,6.33284e-05,6.33284e-05
80,969.025,0.91494,0.56261,0.9922,0.87802,0.89054,0.92025,0.6597,1.03802,0.71898,1.12228,6.05762e-05,6.05762e-05,6.05762e-05
81,980.554,0.92817,0.56405,0.99316,0.88176,0.89151,0.9281,0.66097,1.0582,0.70039,1.12791,5.7824e-05,5.7824e-05,5.7824e-05
82,992.572,0.88911,0.55685,0.98675,0.88494,0.88442,0.9302,0.67205,1.03915,0.7055,1.11879,5.50718e-05,5.50718e-05,5.50718e-05
83,1005.97,0.91147,0.55681,0.99448,0.87154,0.88842,0.92743,0.66806,1.03841,0.72016,1.12194,5.23196e-05,5.23196e-05,5.23196e-05
84,1014.82,0.90312,0.57007,0.98742,0.8881,0.88915,0.92535,0.66895,1.03935,0.70949,1.1185,4.95674e-05,4.95674e-05,4.95674e-05
85,1028.09,0.90219,0.54542,0.98969,0.87265,0.86957,0.91129,0.657,1.04043,0.74868,1.11772,4.68152e-05,4.68152e-05,4.68152e-05
86,1038.23,0.93277,0.56631,0.99914,0.88397,0.87365,0.91488,0.65501,1.05392,0.73246,1.11995,4.4063e-05,4.4063e-05,4.4063e-05
87,1051.5,0.89609,0.55189,0.98812,0.88162,0.88242,0.92588,0.66414,1.04971,0.71316,1.12155,4.13108e-05,4.13108e-05,4.13108e-05
88,1063.65,0.91405,0.54775,0.989,0.89726,0.87933,0.92767,0.6622,1.05622,0.69715,1.12081,3.85586e-05,3.85586e-05,3.85586e-05
89,1075.09,0.90368,0.54112,0.9878,0.87183,0.8854,0.91636,0.66185,1.0404,0.72295,1.12141,3.58064e-05,3.58064e-05,3.58064e-05
90,1085.75,0.89166,0.54961,0.98439,0.87676,0.88922,0.91443,0.6621,1.04547,0.7287,1.11845,3.30542e-05,3.30542e-05,3.30542e-05
91,1099.29,0.8696,0.48135,0.9913,0.88767,0.90573,0.92423,0.66344,1.05395,0.71017,1.1261,3.0302e-05,3.0302e-05,3.0302e-05
92,1110.56,0.85617,0.47124,0.98776,0.89305,0.90536,0.92933,0.66581,1.05178,0.69147,1.12348,2.75498e-05,2.75498e-05,2.75498e-05
93,1122.58,0.85706,0.46936,0.98509,0.89519,0.89816,0.92752,0.66352,1.04538,0.69676,1.12188,2.47976e-05,2.47976e-05,2.47976e-05
94,1134.87,0.848,0.46368,0.98536,0.89153,0.89519,0.92354,0.66263,1.04751,0.71083,1.12575,2.20454e-05,2.20454e-05,2.20454e-05
95,1145.24,0.83576,0.45626,0.97849,0.88751,0.88612,0.91918,0.66054,1.04111,0.71744,1.12464,1.92932e-05,1.92932e-05,1.92932e-05
96,1155.82,0.83101,0.45174,0.97526,0.888,0.88923,0.92411,0.66388,1.04459,0.70864,1.12592,1.6541e-05,1.6541e-05,1.6541e-05
97,1166.92,0.8311,0.45078,0.97491,0.89125,0.88766,0.9269,0.6657,1.04612,0.70044,1.12648,1.37888e-05,1.37888e-05,1.37888e-05
98,1178.06,0.82446,0.44754,0.97522,0.89123,0.89391,0.93002,0.67062,1.04092,0.69054,1.12479,1.10366e-05,1.10366e-05,1.10366e-05
99,1186.28,0.82589,0.44891,0.97293,0.89164,0.89227,0.92923,0.67088,1.03941,0.69314,1.12493,8.2844e-06,8.2844e-06,8.2844e-06
100,1198.98,0.82734,0.4463,0.97558,0.89051,0.89103,0.92766,0.66872,1.04097,0.69458,1.12518,5.5322e-06,5.5322e-06,5.5322e-06
